"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id","regulation"
-1.13084250872424,10.2017432746176,-44.3449491237826,0,0,760.904745420211,"AAGAB|79719","DOWN"
-1.67318029389619,10.6710845958025,-49.8033066761662,0,0,913.954717357113,"ACACA|31","DOWN"
-2.7882426779022,5.71357717969724,-46.9390898302917,0,0,833.214914754121,"ADPRHL1|113622","DOWN"
-9.33773330995861,9.16391137630588,-56.9445134193161,0,0,1117.46502419838,"AGR2|10551","DOWN"
-6.79324066151555,7.64055623899749,-53.6786087729573,0,0,1024.16512477895,"ALDH3B2|222","DOWN"
-3.20151512156319,9.99714892017676,-56.9926176747075,0,0,1118.84019930843,"AP1M2|10053","DOWN"
-2.092377347538,8.14448402222512,-48.9263558082274,0,0,889.152254927692,"ARHGAP39|80728","DOWN"
-2.47882362696775,8.83891250623523,-48.6470520291337,0,0,881.26678501541,"ARHGEF19|128272","DOWN"
-2.36033341856789,10.0308491300491,-51.8632186628927,0,0,972.435412004579,"ATAD2|29028","DOWN"
-4.89705922760626,7.24001504486055,-55.2275319757693,0,0,1068.39148243497,"ATP2C2|9914","DOWN"
-1.25604584643656,9.57771919735692,-45.4124656851689,0,0,790.549966127363,"B3GALNT2|148789","DOWN"
-2.47804838530926,9.91288643437445,-50.7935315670584,0,0,942.032446017443,"BAIAP2L1|55971","DOWN"
-2.73684014564661,8.57224671371682,-46.3985970318025,0,0,818.075991966829,"BDH1|622","DOWN"
-4.78162727413197,6.52374327759309,-70.4110947720594,0,0,1499.58084332082,"BIK|638","DOWN"
-2.42433117841497,7.35171956935877,-45.2646119709346,0,0,786.434177819467,"BLM|641","DOWN"
-4.79909553231387,6.63476261102559,-44.4210565868833,0,0,763.01263895592,"BNIPL|149428","DOWN"
-1.33220449878301,9.07104896976605,-44.8817131030138,0,0,775.789904454329,"BRCC3|79184","DOWN"
-2.6704422556306,8.58559808100439,-44.5117975561122,0,0,765.526991600602,"BUB1|699","DOWN"
-2.7934729475181,8.34287655073618,-45.9974102442675,0,0,806.862257105883,"BUB1B|701","DOWN"
-1.82961574296722,10.6921029635612,-55.7047248822316,0,0,1082.02705760474,"BZW2|28969","DOWN"
-2.9895495067941,7.04157148112103,-54.447260405848,0,0,1046.1047775573,"C11orf82|220042","DOWN"
-3.11589409154319,6.66929084097901,-56.4192264697357,0,0,1102.44893744726,"C16orf59|80178","DOWN"
-4.39050125924215,6.08831789437216,-45.2801068344114,0,0,786.865363043923,"C19orf46|163183","DOWN"
-1.79163266482937,7.83120669057001,-51.1906025044184,0,0,953.310113202379,"C1orf112|55732","DOWN"
-3.10601476838891,5.91389435233019,-53.3194106854493,0,0,1013.91899110085,"C1orf135|79000","DOWN"
-3.21073973337215,8.21846014653552,-73.5521867458948,0,0,1587.03481387335,"C1orf172|126695","DOWN"
-6.05983049085078,5.48195248834109,-78.3447031357079,0,0,1718.67012360291,"C20orf151|140893","DOWN"
-2.92955476249437,7.22827563780724,-54.0716598048473,0,0,1035.38182875871,"C6orf132|647024","DOWN"
-4.49038731494001,6.4925819021575,-59.2942588512379,0,0,1184.62462859562,"C6orf168|84553","DOWN"
-3.25429369581061,8.38631300534761,-57.229642787863,0,0,1125.61615895943,"C9orf140|89958","DOWN"
-2.48879108517854,9.0448554535496,-46.0009158284154,0,0,806.960153950479,"CASZ1|54897","DOWN"
-5.04849507869095,7.49461961028224,-60.1350762949433,0,0,1208.63833226306,"CBLC|23624","DOWN"
-1.70009762059835,8.72415833361166,-48.5984377041752,0,0,879.895007901041,"CCDC21|64793","DOWN"
-2.32667633530176,9.69838722615259,-46.8739200279624,0,0,831.387697552441,"CCNB1|891","DOWN"
-3.00903242403169,8.59008906556431,-48.0217329250148,0,0,863.639078654349,"CCNB2|9133","DOWN"
-2.65876306347822,8.71910614723536,-62.1201500364624,0,0,1265.25663197471,"CCNF|899","DOWN"
-3.16023271634323,9.12367632609133,-47.5775084028473,0,0,851.140255346312,"CDC20|991","DOWN"
-2.90150857284229,6.92009004500918,-43.4904759939457,0,0,737.302386057188,"CDC25A|993","DOWN"
-2.73136017175542,6.22881666405854,-44.2577825263129,0,0,758.491660093876,"CDC25C|995","DOWN"
-2.11198711839299,8.6344694959201,-43.5066922996761,0,0,737.749198174455,"CDC42BPG|55561","DOWN"
-2.68957367392325,8.79213518096536,-46.5835809470833,0,0,823.253333010954,"CDCA5|113130","DOWN"
-2.72623806522168,8.51196830071469,-50.0054592366187,0,0,919.680923988586,"CDCA8|55143","DOWN"
-5.85396434185131,9.69138528681129,-58.7791631208811,0,0,1169.90705501474,"CDH3|1001","DOWN"
-2.5279267525925,9.42049827257016,-46.5676519019675,0,0,822.807345269783,"CDK1|983","DOWN"
-9.6844993322173,8.92249965795652,-60.8339029029852,0,0,1228.58401838793,"CEACAM6|4680","DOWN"
-3.09578134549226,6.80106418886412,-43.3305830986825,0,0,732.899205789086,"CENPA|1058","DOWN"
-2.67439572749459,7.96218806972505,-44.515346568206,0,0,765.625357221479,"CENPE|1062","DOWN"
-2.92757140599505,10.2946141557064,-49.368646013304,0,0,901.653359651568,"CENPF|1063","DOWN"
-2.26643554333207,7.97987717067034,-51.8921493215377,0,0,973.258596783713,"CHAF1B|8208","DOWN"
-3.96786642975532,5.48046161837398,-44.4084658661929,0,0,762.66386106405,"CHST6|4166","DOWN"
-4.15609370142488,6.32100880733237,-45.2423341075845,0,0,785.81429713918,"CILP2|148113","DOWN"
-5.43598899923751,7.74641392104924,-47.7544051394131,0,0,856.115002173532,"CKMT1B|1159","DOWN"
-5.76054375296358,8.08746468644266,-109.506103143066,0,0,2509.28396476519,"CNKSR1|10256","DOWN"
-3.15622658035076,9.46394002573416,-63.6128704961852,0,0,1307.73618337251,"CORO2A|7464","DOWN"
-6.27044900233974,10.2293233522709,-53.5051669133908,0,0,1019.21712443165,"CRABP2|1382","DOWN"
-7.6454184512031,6.80300605960923,-47.7425541156511,0,0,855.781620530719,"CXCL17|284340","DOWN"
-3.16482836046669,7.76295072208942,-43.5092544148316,0,0,737.819796865131,"DGAT2|84649","DOWN"
-2.34410269924804,13.0525291932433,-48.734966056223,0,0,883.748059100663,"DHCR24|1718","DOWN"
-1.30683693208916,10.7153811057819,-43.8539525839494,0,0,747.327887279769,"DKC1|1736","DOWN"
-3.05880802732904,8.09484983578654,-46.1642325049753,0,0,811.522689038664,"DLGAP5|9787","DOWN"
-1.36202812338469,8.73310227805372,-53.5845090647943,0,0,1021.48049265005,"DOLPP1|57171","DOWN"
