"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id","regulation"
3.39303488352644,7.68790297187324,39.2864160340608,3.31097641424968e-303,6.79776567609603e-300,683.956394429243,"UHRF1|29128","UP"
2.63060246417461,6.34440214185693,37.7999256016996,6.32545324844392e-283,9.98983697260017e-280,637.343553352681,"C16orf59|80178","UP"
3.5046413893784,7.37293490877285,37.4005744294924,1.46185383463575e-277,2.00088807192711e-274,625.015987218202,"PKMYT1|9088","UP"
1.52548716975928,10.6677046130368,36.8684166844061,1.79942651357126e-270,2.17317798530185e-267,608.720817866786,"NME1|4830","UP"
3.43237161220081,7.66840229080616,35.8106731162523,1.40979776841313e-256,1.31566172651318e-253,576.789500371282,"KIF4A|24137","UP"
2.02408108242215,9.40033588830632,35.7586808144682,6.68586320866891e-256,5.96815032770354e-253,575.235938126609,"PAQR4|124222","UP"
3.53561083130653,6.95872177994246,35.2536290721951,2.27694211678423e-249,1.79799609998835e-246,560.224000949013,"KIF18B|146909","UP"
1.68451984055087,9.38490723436286,34.549811295984,2.26324351272045e-240,1.54888841865545e-237,539.547134336423,"PAFAH1B3|5050","UP"
2.11101279558593,5.7162112794336,33.8565394043599,1.24362484909462e-231,7.09246160465599e-229,519.462363703741,"PRR7|80758","UP"
2.31553062989707,8.13724042945476,33.8201657142583,3.5468033849842e-231,1.96809244046245e-228,518.416431095286,"EZH2|2146","UP"
2.65006697999855,7.96037512316462,33.6322854103129,7.85851295370702e-229,4.24587182769891e-226,513.026472882791,"CDT1|81620","UP"
3.34968092199617,6.68862693547092,33.2616071703861,3.13253435466615e-224,1.53128721037264e-221,502.454535054481,"CDC45|8318","UP"
3.19173766833451,9.36235957546353,33.1743938138767,3.74175224960408e-223,1.71909617768179e-220,499.979233899843,"TPX2|22974","UP"
3.2729952534585,7.20773664972396,33.1741484599226,3.76792791367592e-223,1.71909617768179e-220,499.972276746096,"HJURP|55355","UP"
2.42313060213625,7.06314025710147,33.0687731040562,7.49750193838112e-222,3.34633070210658e-219,496.987682981984,"GPRIN1|114787","UP"
2.98349028235316,6.25015788376724,32.9969893096343,5.72811381509216e-221,2.45008134870119e-218,494.958393411013,"FAM64A|54478","UP"
2.19494330649181,8.16429441140542,32.8640507092566,2.45374663298502e-219,9.87801414153245e-217,491.208608722771,"E2F1|1869","UP"
2.3492860417243,5.73597626074856,32.5024130112381,6.38337235081359e-215,2.42698180989914e-212,481.062906948553,"EME1|146956","UP"
2.28728270999894,8.2361033598381,32.3144761166217,1.21810964889384e-212,4.46589450025703e-210,475.822317747526,"RECQL4|9401","UP"
2.5953942392135,7.1150810561008,32.2919341233072,2.28346873086333e-212,8.22489412515001e-210,475.195214184522,"CDCA3|83461","UP"
3.24441078649856,8.00027916354668,32.1843164630041,4.56656083127474e-211,1.61648380046382e-208,472.205732534621,"IQGAP3|128239","UP"
3.0077486565287,8.96742000898662,32.1499156361365,1.1879524692276e-210,4.06497535761863e-208,471.251648464672,"FOXM1|2305","UP"
3.13493847188148,8.70776856874012,32.1219420814707,2.58342589630414e-210,8.69513394705252e-208,470.476366806734,"ANLN|54443","UP"
2.86261744650278,6.98902957597859,32.0137877265955,5.18407520367673e-209,1.68943250804265e-206,467.483506878381,"GTSE1|51512","UP"
3.38020162101743,6.9765794788093,31.8321970983897,7.84032574925684e-207,2.43893527209079e-204,462.475060143411,"TROAP|10024","UP"
3.33374932312863,7.1773396726725,31.7886895776243,2.60147852218114e-206,7.9717844087912e-204,461.278170642843,"MELK|9833","UP"
3.19216498931257,6.84636179162683,31.7100202304054,2.26858132916168e-205,6.84944753956154e-203,459.117022976651,"NUF2|83540","UP"
3.59721301964883,8.17700950105585,31.7088607862924,2.34208899733237e-205,6.96890278322185e-203,459.085200888223,"UBE2C|11065","UP"
1.34385478504332,10.2735822607545,31.6816469508571,4.94941792015011e-205,1.45166427598003e-202,458.338535197907,"PPP1R14B|26472","UP"
2.49659296121705,6.66162112556504,31.6670201827035,7.3981451491345e-205,2.1393143388293e-202,457.937414905265,"ORC6L|23594","UP"
3.36004565668957,7.41571508305867,31.6636001623645,8.12703018425647e-205,2.31744523212458e-202,457.843644840311,"BIRC5|332","UP"
1.27518922829714,11.0113824585018,31.4226412082453,5.98428971885258e-202,1.55523357237674e-199,451.255773198034,"SHMT2|6472","UP"
1.82178227085271,8.25932947497884,31.3072881317234,1.39270050464288e-200,3.57419175760286e-198,448.11511715134,"CHTF18|63922","UP"
2.78682143712308,6.10574176721463,31.140225561339,1.30872257628699e-198,3.2767540504571e-196,443.581732419457,"SPC25|57405","UP"
2.87647136308477,6.60764959823523,31.0782010324776,7.03662406004105e-198,1.7198681973417e-195,441.903217707251,"SKA3|221150","UP"
2.79678144286193,7.61115639838803,31.0355430194431,2.23439088246483e-197,5.39697402445712e-195,440.75024279438,"BUB1B|701","UP"
3.08624205449654,5.46778618410857,31.0087619938587,4.6124203124606e-197,1.07610910721737e-194,440.026997182199,"CDC25C|995","UP"
2.62985907793031,7.54064515331969,30.9514414788184,2.17253225179766e-196,4.90156699578656e-194,438.480564603085,"KIAA0101|9768","UP"
3.04947341673869,6.94140280923537,30.9271284923651,4.18949573317761e-196,9.34940618455104e-194,437.825274643547,"PBK|55872","UP"
2.17761670994747,9.91865609152662,30.888248425934,1.19642598094571e-195,2.64127116288132e-193,436.778165355842,"TMEM132A|54972","UP"
2.72178222376214,6.62186124914885,30.8127402212269,9.1563282574863e-195,1.97882711004685e-192,434.74739853777,"RAD54L|8438","UP"
2.34116487766067,6.85028968404194,30.7180157787781,1.17006299812691e-193,2.42652155702461e-191,432.205061427977,"CENPM|79019","UP"
3.09562386108759,10.0540331244525,30.6963213763731,2.09540033911003e-193,4.30206643622679e-191,431.623621750648,"TOP2A|7153","UP"
2.50319699442317,8.84822544779841,30.6730169563902,3.91702699076962e-193,7.96242387598921e-191,430.999373453313,"NUSAP1|51203","UP"
3.07205496277194,7.66989993379855,30.5372231181595,1.48941269813023e-191,2.94030116397229e-189,427.368964491965,"KIF20A|10112","UP"
2.35685956356064,7.64227025829195,30.4807612434962,6.7366891637254e-191,1.29262584318174e-188,425.863026178295,"UBE2T|29089","UP"
1.02528476694639,9.04677359224325,30.4488015587864,1.58141013615955e-190,2.97870931243043e-188,425.011531712069,"FBXL19|54620","UP"
2.02387499598198,7.75310959854059,30.3852751753856,8.60633896537961e-190,1.57764951159115e-187,423.321005572189,"GINS2|51659","UP"
2.92751818579898,8.11724149455054,30.3541908558029,1.96980251179528e-189,3.54754520786569e-187,422.494775398997,"PLK1|5347","UP"
2.53820058609984,8.20524015978226,30.2507330666411,3.0853237011061e-188,5.46075697477667e-186,419.749423362255,"CDCA5|113130","UP"
1.42869045531166,8.92036088298271,30.1093474734898,1.30996374624923e-186,2.26007274573471e-184,416.009053841081,"RNASEH2A|10535","UP"
2.61432366991958,9.29485937564816,30.0580765605553,5.08380248384283e-186,8.69796239964809e-184,414.655947974254,"TUBB3|10381","UP"
2.88102686156355,7.79056319938159,29.9277621494653,1.58361110353677e-184,2.64334305420434e-182,411.22464076111,"BUB1|699","UP"
2.54199109093958,5.19041574049156,29.6829732890296,9.81172491628985e-182,1.57378534575271e-179,404.809720453831,"MND1|84057","UP"
3.04439913910699,6.30524821436687,29.624651806985,4.51232143553026e-181,7.07194438113525e-179,403.287268051999,"KIF14|9928","UP"
2.09497900435886,9.19238329853563,29.6203845644051,5.04482337852128e-181,7.846611271547e-179,403.17596350175,"PRC1|9055","UP"
2.7473539564289,7.66337182796653,29.5946565708136,9.88150164203157e-181,1.51400828516829e-178,402.505146997664,"NCAPG|64151","UP"
1.10650551214239,7.26499363887752,29.4900022492219,1.51534745894824e-179,2.28761754997546e-177,399.781040271631,"CBX8|57332","UP"
3.2249153737814,7.09419395259294,29.4013122863608,1.52343549163138e-178,2.28304044369956e-176,397.478256045491,"NEK2|4751","UP"
2.87295326687453,4.84518066697295,29.3343321948404,8.67476399764347e-178,1.27215414025441e-175,395.742677121025,"NEIL3|55247","UP"
2.43050990401016,8.20139672997847,29.2064558350531,2.38147938388177e-176,3.41917155457879e-174,392.437597498139,"ASF1B|55723","UP"
