"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id","regulation"
-3.68676649827276,1.43849860493833,-48.8455407512339,0,0,1007.57957359436,"ADH1A|124","DOWN"
-4.04008786378762,3.00049737484497,-42.2077431313755,0,0,778.717255324079,"FIGF|2277","DOWN"
-4.52073250359509,2.1940080830698,-44.293865710938,0,0,848.749509764381,"MYOC|4653","DOWN"
-2.52172351187394,0.797872708396707,-42.592567261974,0,0,780.358009409939,"OVCH2|341277","DOWN"
-4.38564381004375,2.98235171631955,-40.7306183910639,1.97626258336499e-323,8.11502823294247e-320,730.298413778249,"CD300LG|146894","DOWN"
-4.72839565667255,3.95597274251503,-40.4890797215931,5.75290038017547e-320,1.96854661195419e-316,722.47770712987,"SCARA5|286133","DOWN"
-6.20498396480975,5.90814690357005,-40.1170305040902,9.49174824196786e-315,2.78392975936917e-311,710.485805994069,"ADH1B|125","DOWN"
-3.56214798414858,1.64099906298356,-39.7941830756248,3.02871228018833e-310,7.77281147806832e-307,700.13401432159,"ANGPTL7|10218","DOWN"
-3.85521360195225,5.48660815070808,-39.7438787877934,1.51719955042949e-309,3.46106932998532e-306,698.525634540097,"MAMDC2|256691","DOWN"
-3.15204249111879,8.50801906806164,-39.0023563196604,2.71218042897296e-299,5.06216148974944e-296,674.962060848403,"TNXB|7148","DOWN"
-3.5610910429713,5.9666816566315,-38.7857419743567,2.54486753288001e-296,4.35405627646329e-293,668.130560044604,"LYVE1|10894","DOWN"
-1.87533690778931,1.23763966056284,-37.662120322531,4.53034259267497e-281,6.64374741215785e-278,633.080131361736,"GPR182|11318","DOWN"
-2.18498507781207,8.4824870612593,-37.2326768860809,2.56457500976889e-275,3.29083059534782e-272,619.85841808838,"ACACB|32","DOWN"
-3.18941418055655,7.49599758607541,-36.8026750406815,1.337975555211e-269,1.52610978466873e-266,606.718330611196,"CLEC3B|7123","DOWN"
-3.16398166471803,4.65674639393354,-36.5300283859867,5.35925485019749e-266,5.7910979647055e-263,598.438607697896,"C1QTNF7|114905","DOWN"
-1.84498909612471,1.0051941895782,-36.2037846083803,6.89471898127025e-261,7.07777377022298e-258,586.698058031206,"ANGPTL5|253935","DOWN"
-3.77808428325002,5.14868883875572,-35.8653117694914,2.74182362490908e-257,2.68058956395278e-254,578.423769245954,"ANGPTL1|9068","DOWN"
-1.62427908321311,10.8427335730387,-35.7441035070637,1.03412371078551e-255,8.84649746089058e-253,574.800631313127,"CAT|847","DOWN"
